name,capital,admitted,order,population,latitude,longitude,motto,description,midlat,midlon
State of Washington,Olympia,18891111,42,6744496,45° 33′ N to 49° N,116° 55′ W to 124° 46′ W,"Alki (Chinook Wawa: ""Eventually"" or ""By and by"") [ 1 ]","Washington i / ˈ w ɒ ʃ ɪ ŋ t ən / is a state in the Pacific Northwest region of the United States located north of Oregon , west of Idaho and south of the Canadian province of British Columbia , on the coast of the Pacific Ocean . Washington was carved out of the western part of Washington Territory which had been ceded by Britain in 1846 by the Oregon Treaty as settlement of the Oregon Boundary Dispute . It was admitted to the Union as the 42nd state in 1889.",47.275,-120.84166666666667
State of Arkansas,Little Rock,18360615,25,2915918,33° 00′ N to 36° 30′ N,89° 39′ W to 94° 37′ W,Regnat populus (Latin),"Arkansas (i / ˈ ɑr k ən s ɔː / ar -kən-saw) [ 6 ] is a state located in the southern region of the United States . Its name is an Algonquian name of the Quapaw Indians . Arkansas shares borders with six states (clockwise: N: Missouri ; E: Tennessee , Mississippi ; S: Louisiana ; SW: Texas ; W: Oklahoma), and its eastern border is largely defined by the Mississippi River . Its diverse geography ranges from the mountainous regions of the Ozarks and the Ouachita Mountains , which make up the U.S. Interior Highlands , to the eastern lowlands along the Mississippi River. The capital and most populous city is Little Rock , located in the central portion of the state.",34.75,-92.13333333333333
State of Oregon,Salem,18590214,33,3831074,42° N to 46° 18′ N,116° 28′ W to 124° 38′ W,Alis volat propriis (Latin = She flies with her own wings),"Oregon (i / ˈ ɒr ɨ ɡ ən / orr -ə-gən) [ 8 ] is a state in the Pacific Northwest region of the United States . It is located on the Pacific coast , with Washington to the north, California to the south, Nevada on the southeast and Idaho to the east. The Columbia and Snake rivers delineate much of Oregon's northern and eastern boundaries, respectively. The area was inhabited by many indigenous tribes before the arrival of traders, explorers, and settlers who formed an autonomous government in Oregon Country in 1843. The Oregon Territory was created in 1848, and Oregon became the 33rd state on February 14, 1859.",44.15,-120.55000000000001
State of Montana,Helena,18891108,41,989415,44° 21′ N to 49° N,104° 2′ W to 116° 3′ W,"""Oro y Plata"" (Spanish: Gold and Silver)","Montana i / m ɒ n ˈ t æ n ə / is a state in the Western United States. The western third of Montana contains numerous mountain ranges. Smaller, "" island ranges "" are found in the central third of the state, for a total of 77 named ranges of the Rocky Mountains . This geographical fact is reflected in the state's name, derived from the Spanish word montaña (mountain). Montana has several nicknames, none official, [ 4 ] including: ""Big Sky Country"" and ""The Treasure State"", and slogans that include ""Land of the Shining Mountains"" and more recently, ""The Last Best Place"". [ 5 ] [ 6 ] The state ranks fourth in area, but 44th in population, and accordingly has the third-lowest population density in the United States. [ 7 ] The economy is primarily based on services, with ranching , wheat farming, oil and coal mining in the east, and lumber , tourism, and hard rock mining in the west. [ 8 ] Millions of tourists annually visit Glacier National Park , the Little Bighorn Battlefield National Monument , and three of the five entrances to Yellowstone National Park . [ 9 ]",46.675,-110.04166666666666
Idaho,Boise,18900703,43,1567582,42° N to 49° N,111°03′ W to 117°15′ W,Esto perpetua,"Idaho i / ˈ aɪ d ə h oʊ / is a state in the Rocky Mountain area of the United States. The state's largest city and capital is Boise . Residents are called "" Idahoans "". Idaho was admitted to the Union on July 3, 1890, as the 43rd state.",45.5,-114.15
State of Nevada,Carson City,18641031,36,2700551,35° N to 42° N,114° 2′ W to 120° W,All For Our Country,"Nevada i / n ə ˈ v æ d ə / is a state in the western , mountain west , and southwestern regions of the United States. With an area of 110,561 square miles (286,350 km 2) and a population of about 2.7&#160;million, it is the 7th-largest and 35th-most populous state. Over two-thirds of Nevada's people live in the Las Vegas metropolitan area , [ 5 ] which contains its three largest incorporated cities. [ 6 ] Nevada's capital is Carson City .",38.5,-117.01666666666667
State of California,Sacramento,18500909,31,37253956,32° 32′ N to 42° N,114° 8′ W to 124° 26′ W,Eureka [ 1 ],"California (pronounced i / k æ l ɨ ˈ f ɔr n j ə /) is a state located on the West Coast of the United States. It is by far the most populous U.S. state , [ 9 ] and the third-largest by land area (after Alaska and Texas). It is home to the nation's second- and sixth-largest census statistical areas (Los Angeles Metropolitan Area and San Francisco Bay Area), and eight of the nation's fifty most populated cities (Los Angeles , San Diego , San Jose , San Francisco , Fresno , Sacramento , Long Beach and Oakland). [ 10 ] The capital city is Sacramento.",37.266666666666666,-119.28333333333333
State of Arizona,Phoenix,19120214,48,6392017,31° 20′ N to 37° N,109° 3′ W to 114° 49′ W,Ditat Deus,"Arizona i / ær ɪ ˈ z oʊ n ə / (Navajo: Hoozdo Hahoodzo ; O'odham: Alĭ ṣonak); is a state located in the southwestern region of the United States. It is also part of the western United States and the mountain west . The capital and largest city is Phoenix . The second largest city is Tucson , followed in size by eight Phoenix metropolitan area cities: Mesa , Glendale , Chandler , Scottsdale , Gilbert , Tempe , Peoria , Surprise and then by Yuma in Yuma County.",34.166666666666664,-111.93333333333334
State of Utah,Salt Lake City,18960104,45,2763885,37° N to 42° N,109° 3′ W to 114° 3′ W,Industry,"Utah (/ ˈ juː t ɔː / or i / ˈ juː t ɑː /) is a state in the Western United States. It was the 45th state to join the Union , on January 4, 1896. Approximately 80% of Utah's 2,763,885 people live along the Wasatch Front , centering on Salt Lake City . This leaves vast expanses of the state nearly uninhabited, making the population the sixth most urbanized in the U.S. [ 7 ] The name ""Utah"" is derived from the name of the Ute tribe and means ""people of the mountains"" in the Ute language . [ 8 ] Utah is bordered by Arizona on the south, Colorado on the east, Wyoming on the northeast, Idaho on the north and Nevada on the west. It also touches a corner of New Mexico .",39.5,-111.55
State of Wyoming,Cheyenne,18900710,44,563626,41°N to 45°N,104°3'W to 111°3'W,Equal Rights,"Wyoming i / w aɪ ˈ oʊ m ɪ ŋ / is a state in the mountain region of the Western United States . The western two thirds of the state is covered mostly with the mountain ranges and rangelands in the foothills of the Eastern Rocky Mountains , while the eastern third of the state is high elevation prairie known as the High Plains . Wyoming is the least populous U.S. state , with a U.S. Census population of 563,626 in 2010. This is a 14.1% increase since 2000. [ 1 ] It is the tenth largest U.S. state by area. Cheyenne is the capital and the most populous city of Wyoming with a population of nearly 60,000 people within its city proper.",43.0,-107.55
